YearsExperience,Education,Age,Salary
19.8,Bachelor,41,54990000
1.0,Master,26,24080000
11.2,Bachelor,32,34480000
11.4,Master,32,49560000
2.0,Master,25,27140000
17.9,Bachelor,41,51130000
2.7,Bachelor,28,12450000
12.7,Master,35,51190000
2.5,Bachelor,26,12760000
14.4,Bachelor,35,40360000
17.7,PhD,38,79210000
14.1,PhD,36,74700000
5.7,Bachelor,30,19850000
18.2,Master,46,65770000
11.8,Master,33,50200000
7.5,Bachelor,34,24540000
17.1,Bachelor,40,48270000
5.3,Bachelor,31,18970000
15.7,Bachelor,36,45610000
1.4,Bachelor,25,9300000
17.8,Bachelor,41,51300000
5.9,Bachelor,28,24510000
11.8,Master,34,52000000
18.3,Bachelor,41,52480000
19.9,Bachelor,43,55920000
1.7,Master,22,25830000
18.6,Bachelor,39,53710000
10.6,Master,32,48190000
18.9,Bachelor,36,55040000
11.2,Master,31,50650000
5.7,Bachelor,30,19970000
13.1,PhD,37,70050000
9.5,PhD,31,62510000
12.8,PhD,38,72530000
10.5,Bachelor,33,30640000
4.8,PhD,26,50690000
14.8,Master,39,57930000
16.1,Bachelor,42,46030000
17.6,Bachelor,40,49670000
6.4,PhD,31,56360000
12.4,Bachelor,36,38630000
2.2,Master,26,26740000
6.7,Bachelor,27,21990000
16.4,Bachelor,37,48400000
17.5,Bachelor,38,50300000
17.9,Master,42,65110000
14.0,Bachelor,37,40390000
18.4,Master,41,67400000
8.4,Bachelor,34,24520000
3.7,Master,30,30030000
4.1,PhD,23,47830000
4.9,Master,24,32410000
0.5,Bachelor,23,8310000
4.9,Bachelor,29,17110000
18.7,Master,43,68110000
14.9,Bachelor,37,42670000
18.4,Master,37,66410000
12.3,Bachelor,39,36020000
9.4,Master,31,48800000
6.6,Bachelor,30,22650000
7.9,Bachelor,31,24500000
13.0,Master,35,51090000
16.2,Master,41,59280000
3.0,Master,29,27020000
14.7,Master,35,57030000
0.6,Master,22,22200000
13.2,Bachelor,35,40580000
