Pclass,Sex,Age,SibSp,Fare,Embarked,Survived
3,male,24.1,0,47.4,Southampton,0
1,female,38.2,1,49.8,Cherbourg,1
3,female,34.8,0,22.87,Southampton,1
2,female,24.3,0,13.94,Southampton,1
1,male,44.1,1,54.38,Southampton,0
3,male,14.9,1,9.18,Southampton,0
1,male,37.0,0,50.1,Southampton,1
3,female,36.7,1,9.1,Southampton,1
3,male,25.0,0,26.47,Southampton,0
3,male,33.2,2,11.37,Southampton,0
2,female,12.7,0,13.48,Cherbourg,0
1,male,41.0,1,68.18,Queenstown,1
3,male,26.6,2,9.43,Cherbourg,0
2,male,22.2,0,33.97,Cherbourg,0
3,female,42.6,1,55.05,Southampton,0
3,male,19.8,1,15.43,Queenstown,0
3,female,10.7,1,31.4,Southampton,1
2,male,8.8,1,46.33,Queenstown,0
2,female,36.9,0,34.84,Queenstown,1
3,male,12.4,0,11.54,Cherbourg,0
2,male,51.8,2,66.93,Queenstown,0
1,female,1.9,0,104.09,Southampton,1
3,male,51.1,0,13.36,Southampton,0
3,male,31.7,1,16.09,Southampton,0
3,male,27.7,0,15.63,Southampton,0
3,female,21.9,0,17.83,Southampton,0
1,male,34.2,0,20.0,Southampton,1
3,female,28.5,0,54.9,Queenstown,1
3,male,43.3,0,13.78,Southampton,0
1,male,30.5,1,55.98,Cherbourg,1
3,male,31.0,1,24.85,Queenstown,0
3,male,24.3,0,17.73,Queenstown,0
3,male,28.3,1,45.0,Queenstown,0
3,male,,1,10.18,Southampton,0
3,male,6.8,0,8.89,Queenstown,0
2,female,11.5,1,15.71,Cherbourg,0
2,male,38.7,0,56.36,Southampton,1
3,male,31.2,0,30.03,Southampton,0
3,female,26.6,0,34.33,Cherbourg,0
3,male,29.2,1,8.27,Southampton,0
3,male,33.5,0,33.29,Southampton,0
3,female,22.0,0,14.64,Southampton,0
3,female,18.9,0,16.07,Southampton,1
3,male,31.5,0,19.32,Southampton,0
3,female,16.3,0,38.81,Cherbourg,0
3,male,34.3,0,7.73,Southampton,0
3,male,6.9,1,15.27,Southampton,1
3,male,42.4,0,21.47,Southampton,0
2,female,35.1,1,10.49,Southampton,1
2,male,,0,37.91,Queenstown,0
1,male,41.8,0,7.69,Southampton,1
3,male,50.7,0,11.77,Southampton,0
1,male,42.2,2,33.86,Southampton,0
3,male,5.1,0,27.08,Southampton,0
3,male,12.4,1,11.42,Cherbourg,0
2,male,20.9,0,16.46,Cherbourg,0
3,male,29.3,0,45.38,Southampton,0
1,male,35.7,1,69.19,Southampton,0
1,female,19.6,1,11.52,Southampton,1
3,male,31.4,0,21.05,Southampton,0
2,male,19.2,0,8.73,Southampton,0
1,female,21.1,0,56.85,Southampton,0
3,male,10.7,1,7.67,Southampton,0
3,female,17.0,1,23.57,Southampton,1
1,male,11.4,1,105.58,Queenstown,0
3,male,16.3,0,23.69,Queenstown,0
1,male,42.7,0,112.1,Southampton,0
